start	end	text
457100	467100	But still, every step you have to take on the path. You have to take every step on the path.
468100	475100	An incident in the life of Gautama Adi Buddha.
475100	487100	At that time he was dwelling in a big meditation center in the city of Sravasti, capital of the state of Kosala.
487100	493100	Large number of monks and nuns will come and learn Viparshana from him.
493100	501100	Large number of householders, men, women will come and learn this technique from him, get benefited.
503100	510100	Someone who used to come only in these evening discourses, but never practiced,
510100	519100	he came one day little earlier when Buddha was alone, came to him, paid respect, and said,
520100	526100	One question keeps on bothering me, and I hesitate to ask you, and there are so many people around.
526100	531100	Now that you are alone, permit me to ask the question.
531100	538100	Oh, go ahead. There should not be any confusion in your mind so far as Dhamma is concerned. Go ahead.
538100	544100	And he said, Sir, I am coming here for a number of years.
545100	550100	I understand what you teach. It is good.
550100	556100	But I examine the people who come here to learn.
556100	565100	I have noticed that some of them have really become fully liberated, fully enlightened.
565100	575100	It is quite clear with their behavior, with their lifestyle, with their dealings with these people, situations.
575100	578100	It is very clear they are liberated people.
578100	587100	And quite a few are not fully liberated, and yet a big change has come in their life.
587100	592100	I notice it. A big change for the better has come.
593100	601100	But then, Sir, there are people like me, no change.
601100	604100	We are as we were.
604100	614100	My question is, Sir, you are so powerful, you are so compassionate.
614100	619100	Somebody coming to you, taking refuge in you,
619100	624100	why don't you use all your power and your compassion to liberate us?
624100	627100	Why somebody remains unliberated or half-liberated?
627100	631100	Please, Sir, this question bothers me.
631100	633100	Buddha smiled.
633100	639100	This is what he kept on teaching, but people do not want to understand what can he do.
639100	642100	So he explained.
642100	649100	And his way of explanation was always different according to the caliber of the mind of the student who has come.
649100	653100	At times he will answer by counter-questioning.
653100	657100	So in this case also he started counter-questioning.
657100	659100	Hey, from where are you?
659100	663100	Sir, I am from Sravasti, this city, the capital of Koshala.
663100	665100	Oh, no, no.
665100	670100	Your facial features say that you are not from this country.
670100	674100	You are from some other state and you have come and settled down here.
674100	676100	Oh, yes, Sir, you are quite correct.
676100	680100	Actually I belong to Magadha, Rajgiri.
680100	684100	I have come and settled down here last few years.
684100	685100	Good.
685100	694100	Having come and settled down here, have you severed all relations with Rajgiri, with Magadha?
694100	696100	You don't go there anymore?
696100	698100	Oh, no, Sir, I keep going there.
698100	702100	I still have my relatives there, I have my friends there, I have my business there.
702100	704100	I keep going there.
704100	707100	Every year I go many times to Rajgiri and come back.
707100	712100	I say, you keep going from here to Rajgiri.
712100	719100	So certainly you must be knowing very well the path from here to Rajgiri because you have walked over the path so many times.
719100	723100	Yes, Sir, I know the path so well.
723100	731100	Now tell me, having settled down in this part of the country, you must have made many friends.
731100	735100	And out of these many friends some have become very intimate to you, isn't it?
735100	738100	Yes, Sir, some have become very intimate.
738100	744100	Those who are very intimate, they certainly should be knowing that you don't belong to this part.
744100	750100	You are actually from Magadha, from Rajgiri, and you have come and settled down here.
750100	756100	And they also must be knowing that you keep going to Rajgiri and coming back every year so many times.
756100	758100	Yes, Sir.
758100	761100	Then these people know that you know the path from here to Rajgiri very well.
761100	763100	Yes, Sir.
763100	769100	Some of them must be asking you, how about this path? What kind of path?
769100	773100	Do you keep it a top secret or do you explain what top secrets are?
773100	775100	I explain them very clearly.
775100	784100	You start from here, from Sravasti, start moving eastwards, and you move this way, that way, you turn this way, that way, and you will reach Varanasi.
784100	789100	And then you keep moving this way, that way, turn here, there, you will reach Kaya.
789100	792100	And then you keep moving this, and you will reach Rajgiri.
792100	795100	I explain the whole path very clearly.
795100	797100	Very clearly?
797100	801100	That means everyone to whom you have explained the path must have reached Rajgiri.
801100	804100	How is that possible, Sir?
804100	808100	If someone has not walked on the path, how will he reach Rajgiri?
808100	812100	Young man, this is what I keep on telling every day.
812100	818100	People come to me, understanding very well that this is a person who is fully liberated.
818100	820100	He has reached the final goal.
820100	822100	He knows the path from here to the final goal.
822100	824100	They come to me.
824100	827100	They ask me, what is the path?
827100	829100	Why I keep it as a top secret?
829100	832100	I explain them very clearly.
832100	836100	This is how you walk, this is how you walk, and you will get this station and this station,
836100	841100	and you keep walking, keep walking, and you will reach the final goal.
841100	850100	Someone just listens and says, Sadhu, Sadhu, Sadhu, and bows down three times,
850100	853100	but won't take a single step on the path.
853100	855100	How will this person reach the goal?
855100	856100	What can I do?
856100	859100	I have shown the path, my job is done.
859100	862100	Somebody has started taking steps on the path.
862100	865100	Someone has taken just one step on the path.
865100	869100	This person is one step nearer the goal.
869100	871100	Someone has taken 100 steps on the path.
871100	875100	This person is 100 steps nearer the goal.
875100	879100	Someone has taken all these steps on the path, has reached the goal.
879100	885100	Each individual has to take steps on the path.
885100	890100	No one else can do that, no one else.
890100	898100	If I am thirsty and someone else drinks water, my thirst will not get quenched.
898100	901100	For quenching my thirst, I must drink water.
901100	908100	If I am sick and someone else takes medicine, my sickness will not get cured.
908100	911100	How to take medicine myself? So simple.
911100	916100	And yet, we don't want to work.
916100	922100	And we just expect some other supernatural power to be very kind, to do something for us.
922100	926100	It doesn't work, doesn't work.
926100	930100	Each individual has to work out one's own salvation.
930100	935100	Each individual has to take every step on the path.
935100	947100	And he explains, in his own words, the Pali, the language that he spoke, the language of India of those days.
965100	975100	You have to work diligently, ardently for your liberation.
975100	982100	Someone who has become Tathagat, that means one has become liberated.
982100	989100	The literal meaning Tathagat, one has reached the final goal of ultimate truth, the eternal truth.
989100	991100	One has reached that goal.
991100	997100	He will very compassionately point out to the path, this is the path.
997100	1000100	Akha Taro, he will just point out, this is the path.
1000100	1004100	Akha Taro Tathagat.
1004100	1012100	Everyone who has reached that goal will only point out the path.
1012100	1015100	But each individual has to walk on the path.
1015100	1020100	Each individual has to work out one's own salvation.
1020100	1027100	If this is accepted, and earlier one accepts it, the better.
1027100	1033100	One accepts that I have to walk on the path, every step I have to take to reach the final goal.
1033100	1036100	Then the question comes, what is the path?
1036100	1039100	And how to walk over it?
1039100	1041100	And he explains.
1041100	1043100	He kept on explaining.
1043100	1045100	This is what he did the whole life.
1045100	1051100	He kept on explaining the path, the Dhamma.
1051100	1054100	Dhamma means law.
1054100	1056100	Dhamma means truth.
1056100	1060100	Dhamma means nature.
1060100	1065100	The law of nature, universal law of nature,
1065100	1071100	which governs the entire universe, animate, inanimate,
1071100	1076100	is never sectarian, universal.
1076100	1082100	One has to understand what is this law, what is this nature.
1082100	1087100	One has to understand that if I break the law, I get punished.
1087100	1091100	Then I'm there.
1091100	1098100	If I live a life in line with the law, in accordance to the law, I start getting rewarded.
1098100	1102100	I start moving towards the final goal of liberation.
1102100	1106100	And this is the path.
1106100	1116100	Someone came to him and asked him, sir, in few words, few simple words, tell me what is the path.
1116100	1119100	I can't understand high philosophies and all that.
1119100	1124100	And Buddha smiled. Dhamma is not for high philosophies.
1124100	1128100	It is for people to practice.
1128100	1130100	So they must understand what it is.
1130100	1136100	If they don't understand and simply play intellectual game with it, it doesn't help.
1136100	1139100	Dhamma is always explained in very simple words.
1139100	1141100	All right, I will again explain you.
1141100	1152100	And he explained in few words, again in his own words, in the language that he spoke in those days.
1152100	1168100	Sabhapapa Sayakaranam Kusala Sayupasampada
1168100	1175100	Sachetparyudapana
1175100	1182100	Etang Buddhanasasana
1182100	1187100	Etang Buddhanasasana
1187100	1189100	Sasana is the teaching.
1189100	1192100	Buddhana, all the Buddhas.
1192100	1196100	This is the teaching of all the Buddhas.
1196100	1200100	Have you ever said this is my teaching?
1200100	1203100	Buddha is not a name of somebody.
1203100	1207100	Buddha means an enlightened person, a liberated person.
1207100	1210100	His name was Gautama.
1210100	1216100	And to become Buddha is not more or less you have only one person.
1216100	1219100	Not just only Gautama can become Buddha.
1219100	1221100	Anyone can become Buddha.
1221100	1224100	Of course it is not that easy.
1224100	1226100	Can this person become Buddha?
1226100	1228100	No.
1228100	1230100	Very hard work.
1230100	1232100	Very hard work.
1232100	1236100	Yet, doing hard work, hard work, hard work,
1236100	1242100	there is every possibility of everyone becoming a fully enlightened person becoming Buddha.
1242100	1248100	And when someone becomes a Buddha, he will teach this and nothing else.
1248100	1253100	This will be the teaching of every enlightened person.
1253100	1255100	What is it?
1255100	1260100	Sab papas ay karanam
1260100	1263100	Ay karanam, abstain.
1263100	1269100	Sab, all, papas, all sinful activities.
1269100	1276100	Abstain from all sinful activities, unwholesome activities.
1276100	1283100	And kusalas se upasampadha
1283100	1289100	Perform wholesome actions, pious actions.
1289100	1293100	Enter the field of piety, upasampadha.
1293100	1298100	Get ordained in piety, upasampadha.
1298100	1302100	And say chitthe pariyodapanam
1302100	1304100	Keep on purifying your mind.
1304100	1306100	Keep on purifying your mind.
1306100	1308100	That's all.
1308100	1312100	Abstain from unwholesome sinful actions.
1312100	1316100	Perform wholesome pious actions.
1316100	1320100	And keep on purifying your mind.
1320100	1325100	The entire dhamma and totality is contained in it.
1325100	1328100	Nothing is missing.
1328100	1331100	You won't have to add anything to this.
1331100	1335100	That is why it is called paripunam, complete.
1335100	1338100	It is complete.
1338100	1341100	And you won't have to take out anything from it.
1341100	1345100	There is not even a dot which is wrong, which has to be taken out.
1345100	1348100	That is why it is called parishuddham.
1348100	1351100	So pure, ultra pure.
1351100	1353100	Nothing to take out from it.
1353100	1355100	Nothing to add to it.
1355100	1357100	This is dhamma.
1357100	1360100	Abstain from sinful actions.
1360100	1362100	Perform pious actions.
1362100	1364100	Purify the mind.
1364100	1369100	Every religion worth the name will say the same thing.
1369100	1372100	But then...
1372100	1378100	When an enlightened person teaches dhamma, he teaches universal dhamma.
1378100	1380100	He will never teach sectarian.
1380100	1382100	Universal dhamma.
1382100	1384100	Eternal dhamma.
1384100	1386100	The law of nature is eternal.
1386100	1391100	It was there so in the past, it is so present, it will be so in the future.
1391100	1394100	And it is applicable to one and all.
1394100	1397100	That is dhamma.
1397100	1404100	But out of madness, out of ignorance, people forget the essence of dhamma.
1404100	1407100	And they make a sect out of it.
1407100	1411100	Then this sect, or this sect, or this sect.
1411100	1415100	Then these very words will start carrying different meanings.
1415100	1417100	Everyone will recite the same thing.
1417100	1420100	Abstain from sinful actions.
1420100	1424100	No religion will say you keep on performing sinful actions.
1424100	1427100	Everyone will say the same thing.
1427100	1429100	Perform wholesome action, pious action.
1429100	1432100	Every religion, every tradition will say that.
1432100	1434100	Purify your mind.
1434100	1437100	Every religion, every tradition, everyone will say that.
1437100	1441100	But yet, a big difference.
1441100	1447100	A big difference in the explanations.
1447100	1450100	What is sin?
1450100	1454100	And what is piety?
1454100	1461100	When dhamma turns into a sect, then that particular sect,
1461100	1465100	the so-called religious people of that particular sect,
1465100	1469100	the so-called pious people of this particular sect,
1469100	1474100	they may be wearing this kind of robe or that kind of robe.
1474100	1477100	May be having this rosary or that rosary.
1477100	1481100	May be having this mark over the forehead or that mark over the forehead.
1481100	1485100	This external appearance or that external appearance.
1485100	1488100	Now people belonging to this particular sect will say,
1488100	1493100	those who have this kind of external appearance are pious people.
1493100	1495100	Others are not.
1495100	1500100	Definition is given, a wrong definition is given.
1500100	1502100	Another definition.
1502100	1508100	Every sect, people belonging to that particular sect,
1508100	1512100	will perform this kind of rite or that kind of ritual,
1512100	1515100	this religious ceremony or that religious ceremony.
1515100	1519100	Every sect will have different rites, different rituals, different ceremonies.
1519100	1522100	And those belonging to a particular sect will say,
1522100	1527100	those who are performing these rites, these rituals, these ceremonies,
1527100	1530100	oh, they are pious people.
1530100	1535100	And those who do not, they are not pious, they are sinful.
1535100	1544100	Another mad definition is given for sin and piety.
1544100	1550100	One more definition is given, which is still more confusing.
1550100	1558100	Every sect has some belief, some dogma, some philosophy.
1558100	1562100	We believe in this philosophy, this dogma.
1562100	1566100	Those who believe in this dogma and this philosophy are very pious people.
1566100	1570100	Those who do not believe, they are not pious people.
1570100	1578100	Such kind of definitions of sin and piety harm dhamma.
1578100	1580100	Dhamma is no more dhamma.
1580100	1586100	In dhamma, the definition is universal, not sectarian.
1586100	1591100	External appearances will differ from sect to sect, from person to person.
1591100	1596100	Rites, rituals, ceremonies will differ from person to person, from sect to sect.
1596100	1602100	A philosophical belief may differ from person to person, from sect to sect.
1602100	1605100	But the definition of dhamma cannot differ.
1605100	1611100	It is universal, and it is eternal.
1611100	1617100	What is sin? What is unwholesome action?
1617100	1626100	Any action, physical or vocal, any action that you perform,
1626100	1632100	and it harms and hurts other beings,
1632100	1641100	it disturbs the peace and harmony of other beings, is a sinful action, is an unwholesome action.
1641100	1646100	And what is a pious action? What is a wholesome action?
1646100	1653100	Every action, physical or vocal, which supports, helps other beings
1653100	1660100	in living a peaceful, harmonious atmosphere, which does not disturb their peace, their harmony,
1660100	1669100	which does not harm them, does not hurt them, is a pious action, wholesome action.
1669100	1675100	This definition is universal.
1675100	1685100	As one keeps going deeper in dhamma, at the experiential level, it becomes so clear
1685100	1694100	that this is in line with the law of nature, in line with the law of nature.
1694100	1704100	The first abstain from all sinful action is called sila, living the life of morality.
1704100	1712100	Don't perform any action, physical or vocal, which will harm other beings.
1712100	1717100	Live a moral life.
1717100	1722100	Perform wholesome actions.
1722100	1732100	And the most wholesome action is to be master of your mind, never remain slave of your mind.
1732100	1739100	Learn how to concentrate your mind, one-pointedness,
1739100	1748100	at the base of wholesomeness, without having anything against anybody, anger or hatred or ill-will.
1748100	1755100	This is the most wholesome action.
1755100	1761100	This becomes very clear as one starts taking steps on the path.
1761100	1766100	Look, the teaching is so universal, so universal.
1766100	1773100	The first is called sila, the second is called samadhi, and the third purification of the mind is called panya,
1773100	1780100	that means wisdom, insight, direct experience of the truth inside,
1780100	1789100	and developing the wisdom of the law, the universal law, and changing the habit pattern of the mind at the deepest level.
1789100	1793100	Now the first sila, morality.
1793100	1797100	Initially one starts understanding it merely at the intellectual level.
1797100	1806100	Yes, I should not perform any action at the physical level or vocal level, which will harm other beings.
1806100	1813100	For example, if someone comes and hits me, kills me, I certainly don't like it.
1813100	1819100	I don't like it. So if I hit others or kill others, this person will not like.
1819100	1824100	So I should not do anything which I don't want others to do for me.
1824100	1832100	I should not kill. This will hurt others, harm others.
1832100	1839100	If someone steals away, robs away certain thing which belongs to me and which is very dear to me, I don't like it.
1839100	1846100	I feel hurt. Therefore, I should not steal anything belonging to somebody else.
1847100	1853100	This will hurt this person. I should not do it.
1853100	1866100	Someone rapes or has sexual misconduct with a member of my family, I don't like it. I get hurt.
1866100	1871100	Similarly, I should not do the same thing. Others will get hurt.
1871100	1877100	If someone speaks lies and tries to deceive me, I don't like it.
1877100	1880100	I should not speak lie and try to deceive others.
1880100	1884100	If someone speaks harsh words, I don't like it.
1884100	1888100	I should not speak harsh words to others. They won't like it.
1888100	1901100	And then, although I understand and everyone understands that one should not do this, should not do that,
1901100	1914100	but when one gets intoxicated by any drug or by liquor, one is helpless, one is a slave of that particular intoxication
1914100	1919100	and will perform all those actions which one does not want to perform.
1919100	1924100	And yet one performs, I should not take any kind of intoxicants.
1924100	1931100	This is what one understands at the surface level of the mind, at the intellectual level of the mind.
1931100	1938100	Again one starts understanding, again at a little deeper level, but again at the intellectual level.
1939100	1948100	A human being is a social being. He has to live in the society, live with the members of the family and others.
1950100	1963100	If he keeps on performing such actions which disturb the entire atmosphere around, creates disharmony everywhere, disturbs the peace everywhere,
1963100	1967100	how can this person enjoy peace and harmony?
1969100	1980100	If I ignite fire all around, all around there is fire, burning fire, how can I expect the cool, the tranquility within myself?
1980100	1988100	Not possible. So I must help the atmosphere to be more peaceful, more tranquil,
1988100	1993100	and then only I can experience peace and tranquility living in that atmosphere.
1994100	1997100	Yes, it becomes clearer.
1998100	2005100	But the dhamma becomes really clear when one starts practicing it.
2006100	2012100	And an enlightened person takes one to that depth where one starts experiencing the law of nature.
2013100	2025100	It will become so clear at the experiential level that whenever I perform any action, physical or vocal, which has harmed other people,
2025100	2032100	I cannot perform that unless I have generated tremendous amount of negativity in my mind.
2033100	2038100	I can't kill somebody unless I generate anger, hatred, ill-will, animosity.
2038100	2042100	I cannot steal anything unless I have generated a lot of greed.
2043100	2047100	I cannot commit sexual misconduct unless I have generated patience.
2048100	2055100	And like this, maybe ego, maybe jealousy, some impurity or the other I must develop in my mind,
2055100	2064100	and then only I perform a vocal or physical action which will harm others by experience.
2065100	2070100	One who is walking on the path of dhamma will start understanding it by experience
2071100	2077100	and will also start understanding that whenever I generate any negativity in the mind,
2078100	2085100	anger, hatred, ill-will, animosity, passion, fear, ego, jealousy, greed, any impurity in my mind,
2086100	2090100	nature does not want it. It goes against the law of nature.
2090100	2095100	And nature starts punishing me. I get the punishment here and now.
2096100	2102100	After death, a punishment will come. Leave that aside. We don't say that, don't believe it, but leave it aside.
2103100	2112100	You will get punishment here and now. Every individual who started walking on the path will start realizing nature started punishing me.
2113100	2118100	Because when I generate anger, I become so agitated, so unhappy, so miserable.
2118100	2124100	It is impossible that I generate anger and feel very peaceful, feel full of tranquility.
2124100	2130100	Impossible. I am bound to become agitated. Similarly, any defilement, I am bound to become agitated.
2130100	2134100	Law of nature is such. Nature has started punishing me.
2135100	2142100	And if I refrain from, abstain from these kinds of activities and don't generate these defilements in the mind,
2143100	2148100	nature starts rewarding me. I feel so peaceful. It becomes so clear.
2148100	2155100	This is the law of nature. Don't harm others. Don't hurt others.
2155100	2160100	Don't perform any action at the physical or vocal level which will disturb others.
2161100	2165100	Because you do not know, you have started harming yourself.
2166100	2169100	You are the first victim of your action.
2169100	2172100	You want to kill somebody. You generate anger.
2172100	2176100	When you generate anger, you are being punished then and there.
2176100	2180100	You are the first victim of your own anger, your own defilement.
2180100	2185100	This becomes clearer and clearer to somebody who walks on the path of Dhamma.
2186100	2192100	Then at a deeper level, because when I started experiencing the truth inside,
2193100	2199100	the behavior pattern, the way of life starts changing automatically.
2200100	2204100	Because one is not experiencing the truth inside,
2205100	2209100	all the time one gives importance to things outside, outside, outside.
2209100	2212100	One does not know how nature has started punishing me.
2212100	2215100	One does not know how nature has started rewarding me.
2215100	2217100	One does not know at all.
2218100	2222100	Now with this practice, which we will learn for these ten days,
2222100	2225100	it will become clearer and clearer.
2225100	2228100	And once it becomes clearer at the experiential level,
2228100	2231100	not merely at the intellectual level,
2231100	2234100	not merely at the devotional level because Buddha said so,
2234100	2238100	or our founder of our religion said so, or scripture says so,
2238100	2243100	that doesn't work at the experiential level, the direct experience.
2243100	2247100	Then it is something like you put your hand on the fire and your hand burns.
2247100	2252100	Now you know, putting the hand on the fire, touching the fire, hurts me.
2252100	2255100	Next time you are very careful not to put your hand on the fire.
2255100	2258100	You don't like your hand to get burned.
2258100	2261100	So you will keep away from this.
2261100	2264100	You will start experiencing it deep within yourself
2264100	2270100	that whenever you hurt others, before hurting anybody, you started hurting yourself.
2270100	2273100	You started burning inside.
2273100	2277100	The hellfire within you starts burning you here and now.
2277100	2284100	And when you live, a wholesome action, a good action, which helps others.
2284100	2289100	The kingdom of heaven within, you start enjoying the peace,
2289100	2293100	the peace, the tranquility of the kingdom of heaven within.
2293100	2297100	The hell is within. The heaven is within.
2297100	2300100	And this one starts experiencing.
2300100	2306100	And this helps one to practice Dhamma properly,
2306100	2312100	abstain from all evil actions, perform wholesome actions.
2315100	2322100	The path is explained in detail, how you will walk on the path step by step.
2323100	2328100	The whole path is called, in the language of those days,
2328100	2334100	Aryo Athangiko Maggo. Maggo means path.
2334100	2338100	Aryo, noble, noble path.
2338100	2346100	Noble path in the sense that anyone who walks on the path is bound to become a noble person.
2346100	2350100	He may belong to this country or that country, this community or that community.
2350100	2355100	This color or that color, this gender or that gender, makes no difference.
2355100	2361100	Anyone who walks on the path is bound to become a noble person, a saintly person,
2361100	2365100	a good-hearted person, a pure-hearted person.
2365100	2371100	That is why it is called noble path. Eightfold, eightfold noble path.
2371100	2374100	Now this is divided in three divisions.
2375100	2378100	Sheela, samadhi, panya.
2378100	2381100	Sheela, morality.
2381100	2389100	Don't perform any action at the physical or vocal level which will harm others.
2389100	2393100	Three parts of the path come in this morality.
2393100	2395100	Sheela.
2395100	2398100	Samma, vacha.
2398100	2401100	Samma, kammanta.
2401100	2404100	Samma, ajiva.
2404100	2407100	The word samma means right. Right.
2407100	2409100	Samma, vacha.
2409100	2415100	The speech, the speech must be right, wholesome.
2415100	2418100	How can you know what is wholesome, what is unwholesome?
2418100	2423100	If you know what is unwholesome and you abstain from it, what remains is wholesome.
2423100	2431100	What is unwholesome, so far as speech is concerned, your vocal action is concerned,
2431100	2434100	you abstain from speaking lies.
2434100	2438100	This is unwholesome if you speak lies.
2438100	2442100	You abstain from speaking harsh words which hurt others.
2442100	2445100	It does not help them in any way.
2445100	2449100	Because if you do that, it is unwholesome.
2449100	2453100	You abstain from speaking words or backbiting.
2453100	2459100	Two persons are friends and you hear something from here and then say something else to the other person
2459100	2464100	and then you hear something, you break their friendship, make them enemies,
2464100	2468100	you have performed unwholesome action.
2468100	2472100	Or you just talk slanderous words, unwholesome action.
2472100	2477100	Useless words, wasting your time, wasting the time of others, unwholesome vocal action.
2477100	2482100	You abstain from all these and what remains is the wholesome action.
2482100	2486100	Sama vaja, wholesome vocal action.
2486100	2492100	Sama kammanta, wholesome physical action.
2492100	2494100	Same yardstick.
2494100	2500100	Any action which hurts and harms other beings is unwholesome.
2500100	2505100	You abstain from that and what remains is wholesome.
2505100	2507100	Don't kill.
2507100	2510100	Don't steal.
2510100	2513100	Don't perform sexual misconduct.
2513100	2517100	Don't take any kind of intoxicants.
2517100	2522100	If you abstain from that, then all your physical actions are wholesome, automatically wholesome.
2522100	2526100	What remains is wholesome.
2526100	2531100	Sama ajiva, right livelihood.
2532100	2536100	Unless one is a monk or a nun or a recluse or a hermit,
2536100	2542100	in that case one goes out with a begging bowl and doesn't keep anything with him or her.
2542100	2546100	But a householder is not supposed to go out with a begging bowl.
2546100	2550100	Has to work to earn livelihood.
2550100	2557100	And work hard and work honestly without harming others.
2557100	2561100	Now the same yardstick, without harming others.
2561100	2573100	Your profession, your dealings must be such that yes, you get your remuneration from that,
2573100	2576100	but it does not harm others.
2576100	2582100	If you get a lot of profits in your business and that business is harming others,
2582100	2587100	it is not sama ajiva, not sama ajiva.
2587100	2591100	If your means of livelihood is such,
2591100	2596100	which encourages other people to break shila and live an immoral life,
2596100	2599100	and disturb the peace and harmony of others,
2599100	2603100	it is not a sama ajiva, not a right livelihood.
2603100	2616100	For example, someone starts doing business of arms, ammunitions, guns, bullets, bombs, atom bombs, hydrogen bombs.
2616100	2619100	One gets a lot of money, good profit.
2619100	2625100	But anyone who buys will use it for killing others.
2625100	2629100	Not a good livelihood, not a right livelihood.
2629100	2633100	Someone says, I don't kill. Yes, you don't kill.
2633100	2635100	But you help others to kill.
2635100	2637100	You are encouraging others to kill.
2637100	2641100	Not right livelihood.
2641100	2652100	Someone deals in flesh or meat, fish, and says, I don't kill.
2652100	2654100	Somebody else has killed.
2654100	2656100	You are encouraging someone else to kill.
2656100	2658100	Not right livelihood.
2658100	2665100	One deals in animals, grazes animals, and then gives it to the butcher.
2665100	2667100	He kills. I don't kill.
2667100	2669100	No, you are encouraging it.
2669100	2672100	Not right livelihood.
2672100	2674100	One deals in poison.
2674100	2677100	Anyone who takes, makes use of it to kill others.
2677100	2678100	Not right livelihood.
2678100	2680100	Like this, anything.
2680100	2683100	The commodity in which you are dealing,
2683100	2692100	if it encourages others to break their shield, then your livelihood is not livelihood.
2692100	2700100	Even certain livelihoods, which look quite wholesome,
2700100	2704100	but the motivation is wrong.
2704100	2709100	If the motivation is wrong, it becomes unwholesome.
2709100	2714100	One incident in my life, years back, when I was not in contact with pure dharma,
2714100	2717100	I never knew how to observe things inside.
2717100	2721100	And yet I used to feel myself a very dharmic person, a very religious person,
2721100	2725100	performing this rite, that ritual, this, this, giving this donation, that donation.
2725100	2728100	I never knew pure dharma.
2728100	2731100	It so happened, a member of the family became very ill,
2731100	2736100	and it so happened that the family doctor was out of the station.
2736100	2738100	I had to call some other doctor.
2738100	2742100	The doctor was a very famous doctor, a very busy doctor.
2742100	2748100	Whether he will agree to give a visit at home or not, let me go personally and persuade him.
2748100	2751100	I went to him.
2751100	2754100	Usually there is a big crowd of patients.
2754100	2756100	Now I find nobody, he was just alone.
2756100	2760100	Of course, I was happy that if he is alone, he will come.
2760100	2764100	But out of curiosity I asked him, how is the doctor?
2764100	2767100	Every day there is a long queue of patients in your dispensary.
2767100	2769100	Today nobody is there.
2769100	2776100	With a very long and sad face he says, this part, this season, this part of the year,
2776100	2779100	always there is some epidemic or the other.
2779100	2781100	I don't know what happened this year.
2781100	2783100	There is no epidemic.
2783100	2785100	I felt so bad.
2785100	2788100	What a noble profession, a doctor's profession, a physician's profession,
2788100	2793100	to serve others, to come out of illness, and look his motivation.
2793100	2795100	He wants more and more epidemic to start.
2795100	2797100	Not that all doctors are like that.
2797100	2799100	We shouldn't condemn every doctor.
2799100	2801100	But that was the case.
2801100	2803100	And I felt very bad.
2803100	2808100	But at that time I never knew how to observe the reality inside.
2808100	2812100	So long as one does not know how to observe the reality inside,
2812100	2814100	one keeps on finding fault with others.
2814100	2818100	Look, so and so is so bad, so and so is so bad, so and so is so bad.
2818100	2822100	When I started this technique, observing the truth inside,
