start	end	text
577880	587580	The words of buddha, the teachings of buddha, he became enlightened at the age of 35, and
587580	600920	he passed away at the age of 80, for 45 years, day and night, hardly two or three hours he
600920	610860	will lie down for sleep, which is not sleep, awareness and equanimity, awareness and wisdom,
610860	620460	to give rest to the body, rest of the time he was just teaching dhamma.
620460	627460	He taught, he gave 82,000 sermons.
627460	634360	Over 2,000 sermons were given by leading disciples of buddha, who were urhans.
634360	639280	So in all 84,000 sermons.
639280	654400	Now this elderly disciple, by the name of Mahakassapa, he decides that all the teaching
654400	666220	of buddha must be compiled together, and we should try to preserve it for the coming
666220	674640	generations, so that people do not change it.
674640	683320	Quite possible later on, persons like this fellow will put their own words in the mouth
683320	691960	of buddha and they will say, buddha said so, they will take freedom from certain disciplines
691960	696800	which are very essential for the progress of dhamma, and they will say, buddha gave
696800	705600	this permission, and things like that, which after a few centuries it did happen.
705600	715080	We must preserve the actual words of buddha, while there are people who are direct disciples
715080	721960	of buddha, who are eyewitness to buddha's teaching, who heard buddha's teaching.
721960	732960	So he decided to call a meeting of 500 urhans, fully liberated persons, elderly persons,
732960	747280	elderly monks, let us sit together and recite all the teachings of buddha, compile them,
747280	753800	and announce it as authenticated.
753800	758920	This is just immediately after the death of buddha.
758920	766840	If this is compiled after 100 years or 200 years, people may accept, may not accept,
766840	770560	it should be done now.
770560	780680	So this Mahakasapa, a very wise person, he made this decision, he gathered 500 elderly
780680	788880	urhans, well even a few handful could do that, but just to impress the people of that time
789280	797840	and people of future, 500 of them joined together, and they read out every word, they recited
797840	807840	every word of buddha, and then gave it a seal of authenticity.
807840	818880	When he selected 500, somebody said no, this congregation, this gathering will not be
818880	826680	a perfect gathering unless we have ananda as one of the members.
826680	833560	So have only 499, let ananda be a member to make it 500.
833560	837800	Now who is this ananda?
837800	845120	Buddha was cousin brother of buddha, Gautama the buddha, was born on the same day as Gautama
845120	848560	the buddha was born.
848560	856200	He was with him in the childhood, he was with him during the youth, and when buddha renounced
856200	863000	the householder's life, went out and became enlightened, then he was one amongst many
863040	870320	family members who also renounced their householder's life and joined him, and since then he was
870320	874640	with him all the time.
874640	885040	When buddha started teaching, the number of followers started spreading, the work started
885080	893440	spreading, naturally he wanted some assistant, a number of assistants came near him to help
893440	906440	him, to serve him, but quite a few of them came with some motives, the motive was, here
906440	918600	he is a fully enlightened person, he is against these miracles, he has the power of miracles,
918600	926160	no doubt, but he doesn't want his followers to show miracles.
926160	933040	If I am very close to him, I will be fortunate to see some of the miracles being performed
933040	940040	by him, such motive was there with some of these attendants, personal attendants.
940040	949040	Buddha had refused to answer certain questions, philosophical questions, he said they are
949040	954720	useless, meaningless, don't waste your time on them.
954720	959520	Now some attendants thought that he doesn't want to say anything on this subject in public,
959520	965840	but perhaps if I am very close, then he may explain, I better be very close, I better
965840	968560	serve.
968560	977740	Such people could not stay with him longer, sooner or later they have to leave.
977740	991500	People keep on changing and as he grew in age, he became 55 years old, getting old,
991500	997180	so people thought that there must be a stable personal assistant with him, he also accepted
997180	1004820	yes some responsible stable personal assistant, a private secretary is necessary.
1004900	1014900	Many of the elderly monks were very eager to take that post, to serve him so closely,
1014900	1023480	but Buddha had a liking towards Ananda, and Ananda is mum, he doesn't say a word, people
1023480	1031980	know that if Ananda says yes, Buddha will accept him, Ananda does not say yes, when
1032140	1041140	they persuaded him he said I have got my terms, if Buddha accepts my terms, then I will be
1041140	1047980	his personal assistant, somebody putting terms before Buddha to be a personal assistant,
1047980	1048980	what are your terms?
1048980	1056300	He put up some seven or eight terms, and out of that one was very healthy terms, very wholesome
1056300	1058340	terms.
1058340	1067020	One of that was that whenever you give any discourse anywhere, if I am present, perfectly
1067020	1073940	alright, if by any reason I am not present and you give a discourse, then when you come
1073940	1079660	back you must repeat that discourse to me.
1079660	1085980	Buddha accepted all his conditions, including this, so from the age of 55 to the age of
1086620	1095620	80, 25 years, every discourse that Buddha gave was heard by this person, Ananda, even
1095620	1101980	the discourses before that also were heard by him, but these 25 years he was like a shadow
1101980	1110420	with Buddha, every discourse was heard by him, and here was a wonderful person, he had
1110500	1116980	such a wonderful faculty, from some of his good parmes of the past, and also due to
1116980	1125980	his practice of this life, he had developed the faculty of memory, he hears something
1125980	1135940	once, enough, it is like tape recorded, what you are doing here, it is like computerized,
1135940	1143860	anytime you ask anything, he will just repeat word to word, this was his wonderful faculty.
1143860	1151740	So people said if Ananda is not there, something is missing, he should be there, but he can't
1151740	1160740	be there, because this is a gathering of Arhans, and he is not an Arhan.
1160740	1171620	Understand Ananda served Buddha for 25 years, so close to him, Ananda was his cousin brother,
1171620	1182700	so close to him, Ananda was his great devotee, so close to him, and yet he could not become
1182700	1189700	Arhan, he was only Sotapanna, the first stage of liberation, when one experiences the liberation
1191060	1198060	stage, the stage beyond mind and matter for the first time, very important stage, but
1198060	1205060	still it is the first stage of liberation, after that you have got higher stage, you
1205060	1211580	have got higher stage than that, and then you have the highest stage of Arhan, and here
1211700	1222700	he is having reached only the first stage, this again for us to understand that Buddha
1222700	1233700	cannot liberate anybody, each individual has to work out one's own salvation, he had no
1233700	1240700	time, he was just serving Buddha all the time, he could not progress, although he knew
1241660	1252660	Dhamma perfectly well, not one, not two, thousands of persons whom he taught became Arhans, and
1252860	1261860	he himself was not Arhan, and in this gathering, how can a known Arhan be there, so Mahakasrapa
1261860	1268860	goes to him and tells him, well look, well look, Vandivalananda, you were very busy
1269900	1276900	serving Buddha, now Buddha is no more, you know the technique so well, because your own
1277660	1284660	disciples have reached the stage of Arhanthood, now you have got so much time, why not work,
1285500	1291540	become Arhan, so that you can come in our gathering, join our gathering, this is the
1291540	1297700	aim that we have of this gathering, and you will be very great asset to it, Ananda was
1297700	1304700	very glad, wonderful, yes, I didn't have much time before, now I have got time, nothing
1304700	1311700	else, all time is there at my disposal, wait for few days, I will practice, I will become
1311900	1318900	Arhanth and join you, and he started working, started working very vigorously, I must become
1322940	1329940	an Arhanth, I must become an Arhanth, when he was teaching others, he used to say, don't
1329940	1336940	develop ego, this ego is dangerous for you, it will be an obstacle, and when he practices
1344380	1351380	himself, this ego becomes important, I must become Arhanth, I must become Arhanth, many
1352100	1358180	a time the teacher forgets what he teaches others, when he practices himself, he forgets
1358220	1365220	his own teaching and this is what happened, he didn't move an inch, now tomorrow they
1367020	1374020	have to start this conference, and Mahakasrappa comes to Ananda and tells him, look we have
1374980	1381980	waited so long, we can't be waiting, there are 499 persons waiting for the conference
1382460	1389460	to start by tomorrow morning, you are Arhanth or no Arhanth, if you are no Arhanth, I take
1389740	1395420	somebody else, I will start my work, if you are Arhanth, you are welcome, yes, yes, yes,
1395420	1402420	one night more, I will try this one night more, and again try, try, I must become Arhanth,
1405180	1410980	this is the only night for me, I must become Arhanth, the first part of the night, the
1411180	1418180	middle part of the night, the last part of the night, light passes away, the sun is rising,
1419860	1426860	he is so exhausted, he doesn't cry, at least this good quality, he is not successful, and
1428060	1431820	that much he knows that one should not cry when one is not successful, he accept the
1431820	1438820	fact, well I accept the fact, I am not an Arhanth, now let me take rest, let me take
1440980	1447980	rest, I am not an Arhanth, I am just a Sotapanna, a Sotapanna, he was with the reality of this
1453180	1460180	moment as it is, when he was aiming for something to become Arhanth, his mind was always in
1460660	1467660	the future, not in the present, and now I am not an Arhanth, he accept this reality,
1467940	1474940	I am just a Sotapanna, I am taking rest, I am taking rest, and observing the sensations
1476940	1483940	inside, arising, passing, arising, passing, this is the way of taking rest, for good meditators,
1484220	1491220	I am taking rest, and before his head could reach the pillow, he was an Arhanth, when
1492220	1499220	you, how much effort, if you make over-exertion, then you lose the balance of your mind, middle
1501820	1508820	path, neither there must be one extreme of laxity that you don't do anything, nor your
1509260	1516260	effort must be so extreme that you lose the balance of your mind, and Ananda becomes Arhanth,
1516540	1523540	and Ananda becomes Arhanth, and he joins the conference. Now questions are asked to Ananda,
1527620	1534620	what did Buddha say? All the teachings of Buddha were compiled, and three divisions
1535780	1542780	were made, that is why they are called Ti Pitika, Ti means three, Pitika means baskets,
1543260	1550260	baskets in those days, the books were kept in baskets, there is three groups of the teaching
1550700	1557700	of Buddha, the one is Sutta Pitaka, where is long or short discourses to the public
1562540	1569540	were accumulated, compiled, then Vinaya Pitaka, his discourses specially to the monks, the
1569540	1576540	nuns, about their discipline, about their Seela, for householders five Seela, good enough,
1578580	1585580	but for a monk, for a nun, over 200 Seelas, and this is what this old man resented, oh
1587580	1594580	so much restriction on us, all those instructions to the monks, to the nuns, they were given
1599660	1606660	by the monks, they were compiled in Vinaya Pitaka, and then the third called Abhidhamma,
1606820	1613820	higher Dhamma, Dhamma, law of nature, the truth, deeper truth, which it is not easy
1617100	1624100	to understand by ordinary person, one has to meditate very deeply to understand it,
1624540	1631860	this is an analytical study of the entire mind-matter phenomenon, the entire field,
1631860	1638860	in such detail it is explained in Abhidhamma, starting from the apparent truth to the ultimate
1641300	1648300	truth, all the details of the reality pertaining to the matter, all the details of the reality
1654220	1660180	pertaining to the mind, all the details pertaining to the reality, reality pertaining to the
1660180	1667180	mental factors, the mental concomitants, the mental contents, the matter in the language
1668900	1675900	of those days was called Rupa, the mind was called Chitta, and the mental contents, Chetashika,
1675900	1682900	fully explained how they interact, how one starts influencing the other, how the matter
1691260	1698260	stimulates the arising of the mind, how the mind stimulates the arising of the matter,
1699620	1703500	how the mind stimulates the arising of the mind, how the matter stimulates the arising
1703500	1710500	of the matter, all these interconnections and the currents and cross currents going
1711580	1718580	on deep inside are fully explained, they cannot be understood just by reading Abhidhamma,
1719420	1724860	only by the practice of Vipashyana, at a very deep stage such things become clear, that
1724860	1731860	is the third Pethaka, Abhidhamma Pethaka, all these three, so far as Sutta Pethaka,
1733700	1740700	and Abhidhamma Pethaka were concerned, Ananda was asked questions about that, so far as
1740700	1747700	Vinaya Pethaka was concerned, another Arhant by the name of Upali, he was perfect in the
1747700	1754700	discipline of monks and nuns, he was asked questions, now this comes in the Sutta Pethaka,
1755620	1762620	and Ananda says, this is what I heard, Evam Me Sutam, in many of these Suttas, we find
1768900	1775900	the Sutta start with these words, Evam Me Sutam, this is what I heard, he heard directly
1776500	1783500	from the Mahavata Buddha, this is what I heard, and then he is good enough to give a description
1794540	1801540	of the situation, the situation in which this discourse was given, when it was given, to
1801540	1808540	whom it was given, in what circumstances it was given, and how it was given, all that
1810980	1817980	sort of preamble he gives there, and then the actual Sutta starts, so now that explanation,
1818500	1825500	as to where it was given, and he says, Ekam Samayam Bhagava, at one time, Bhagava means
1825500	1832500	the enlightened one, the Buddha, Ekam Samayam Bhagava, Kurusu Viharati, Viharati was living,
1837620	1844620	the word Viharati is not used for ordinary lay people in the language of India, Viharati
1844620	1851620	is used for very enlightened persons, and even those who are on the path of enlightenment,
1853700	1860700	like the monks, the nuns, or even lay people who are practicing Dhamma, this word is used,
1861460	1868460	Viharati, so Buddha was at that time, he was living in the world of the enlightened, and
1868460	1875460	in Dhamma, this word is used, Viharati, so Buddha was at that time living, staying in
1877940	1884940	Kuru, Kuru was one of the sixteen states of northern India of those days, it is somewhere
1884940	1891940	near today's Delhi, near Punjab, adjacent to Rajasthan, which is now called Haryana,
1894700	1901700	a state which is now called Haryana, was called Kuru in those days, and it was here that this
1902740	1909740	discourse was given, Ekam Samayam Bhagava, Kurusu Viharati, Viharati, Viharati, Viharati,
1909940	1916940	that this discourse was given, Ekam Samayam Bhagava, Kurusu Viharati, and in Kuru, in
1917820	1924820	this state also where, Kammas Dhammanam Kurunam Nigamu, a small district of this state by
1928140	1935140	the name of Kammas Dhamma, this was the name of this place where this discourse was given,
1935140	1942140	this discourse was given, Tattrakho Bhagava Bhikkhu Aamante Shri Bhikkha Bhooti, Buddha
1948180	1955180	called those who were present, called them as O Bhikkhus, and Bhadan Te Bhikkhu Bhagavato
1955180	1962180	Pachasosum, and those Bhikkhus, they replied back, Bhadan Te, yes Vendables Sir.
1969580	1976580	Now two things to understand, this important sermon was given in Kuru, Buddha had very
1976580	1983580	high words to say about the people of Kuru, and not only Buddha, later on also, in other
1987940	1994940	traditions also, Kuru is taken as a place where people, most of the people live the
1997540	2004540	life of Buddha, and Kuru is taken as a place where people, most of the people live the
2007020	2014020	life of Buddha, and Kuru is taken as a place where people live the life of Buddha, and
2021420	2028420	Kuru is taken as a place where people live the life of Buddha, and Kuru is taken as
2028460	2035460	the field of Dhamma, the field of Kuru, it talks of Kuru, which is the field of Dhamma,
2036540	2043540	why it is taken with such high regard, Buddha explains in one of his other discourses, long
2044940	2051940	ago, when Buddha was not Buddha, in his previous lives, he had the seed of Buddhahood, he was
2052300	2058980	developing his parmes to become Buddha, the ten parmes, and from life to life, he was
2058980	2065980	living a good life to develop his own parme, in one of the lives, he was king of Kuru,
2068620	2075620	now the people of Kuru, right from the king, to the smallest person, they all observe Sheela,
2076540	2083540	they all observe Sheela, those were the days, when what you call Pancha Sheela now, the
2087140	2094140	five precepts, what you call Sheela Dhamma, the Dhamma of Sheela, morality, in the language
2094780	2101780	of those days of India, it was called Kuru Dhamma, the Dhamma of Kuru, that means the
2102540	2108300	people of Kuru have got this nature, this is their nature, they live the life of morality,
2108300	2115300	everyone lives the life of morality, quite peculiar, at that time, the would-be Buddha,
2118780	2125780	the Bodhisatta, was the ruler of this country, Kuru, and it so happened, that one of the
2126780	2133780	states of India of those days, which is today called Orissa, in those days it was called
2135420	2142420	Kalinga, there was famine, drought, year after year, year after year, people became very
2145420	2152420	miserable, and there was a belief, that these famines come, when people don't live the life
2153300	2159940	of morality, and people don't live the life of morality, when the ruler is not living
2159940	2166940	the life of morality, so the elders of this state, this kingdom, went to the king, to
2168500	2174980	the ruler, and said, sir, there is something wrong, look year after year, famine is there,
2174980	2180580	something should be done, our people should live the life of morality, and this cannot
2180580	2187180	happen unless you start living the life of morality, so take five precepts, and let all
2187180	2193820	the public, all the people of the state take five precepts and observe, and to take five
2193820	2200820	precepts, it is important that it is taken from somebody, who is perfect in five precepts,
2204260	2210180	so from whom you should take five precepts, from whom we should take five precepts, we
2210180	2216980	better approach the ruler of Kuru, he is a perfect person, and all his people, all his
2216980	2223300	subjects, they are living the life of morality, the five precepts are there, so two ambassadors
2223300	2230300	were sent to the kingdom of Kuru, two Brahmin ambassadors, they reached there, and told
2233180	2239620	the whole story to the ruler, we are in difficulty, please give us these five precepts, you write
2239620	2245580	it on a slate, and we will take that, and on your behalf, we will read out to the teacher,
2245580	2250100	and then we will read out to all the people, and we will start practicing, and we will
2250100	2257100	be out of misery, the king refuses, he says, yes I have been living a perfect life of Seela,
2260260	2267260	but there is one slight mistake which I committed, one slight mistake, so I am not perfect,
2269860	2276860	and he asked his ambassadors, you better go to him, he asked them to go to his mother,
2277300	2283980	elderly mother, she is perfect, they go to the mother, mother says no, no, no, this one
2283980	2290980	little mistake I did in my life, you better go to the queen, the chief queen, and they
2291220	2297680	go to the chief queen, and she says no, no, no, no, one little mistake I have done, then
2297720	2303240	go to the younger brother of the king, and then go to the prime minister of the state,
2303240	2309400	then go to this revenue minister of the state, then you go to the chief priest of the state,
2309400	2314360	then you go to this chief officer of the state, revenue officer of the state, then you go
2314360	2321360	to this chief trader of the state, business man of the state, and like this they went
2321360	2327680	And like this they went on going to different, different, everyone says it was slight, slight
2327680	2333080	mistake in my life, slight mistake in my life.
2333080	2339280	And coming down, down, down, the charioteer, go to the charioteer.
2339280	2343360	They went to the charioteer, he says no, some mistake.
2343360	2349000	Then go to the watchman who takes care of the gate.
2349000	2350000	Some mistake.
2350000	2359360	Like this from the king down, everybody are so very much careful about their precepts.
2359360	2364640	And the mistakes that they have said, we won't go in all those details, it will take time,
2364640	2366600	are so flimsy.
2366600	2371600	Like for example, the king he says, I made a mistake, what mistake?
2371600	2378960	He says once I was showing my art of archery, I am wonderful in using the bow and the arrow
2379920	2385920	and I was just showing this to my people, my subject.
2385920	2392080	And one arrow which I threw, it went and fall in the pond nearby.
2392080	2397760	And when it fell in the pond, it went inside and didn't come up.
2397760	2399720	It didn't come up.
2399720	2405600	That shows it must have pierced some fish there and with the weight of the dead fish
2405600	2407520	it remained, it didn't come up.
2408080	2413960	Well, who knows, whether really it pierced a fish or it might have gone in the depth
2413960	2418600	of the mud at the bottom and would not have come up or some other obstacle.
2418600	2428960	But he doubts, perhaps, perhaps by my action, one fish would have been killed, unlike that.
2428960	2432880	People are so careful about their shield.
2432880	2441520	Now this is a country where from the past tradition people are careful about their morality.
2441520	2447160	So this discourse does not talk about morality, morality base is there, he is talking to the
2447160	2451720	people of that country.
2451720	2459800	Base of morality is essential, but base is base.
2459800	2468040	The gap between one Buddha and the another Buddha, this is what happens.
2468040	2473520	When a Buddha arises, an enlightened person arises, he gives complete dhamma, the totality
2473520	2481800	of it, pure dhamma, there is nothing which can be taken out of it, there is no trace
2481800	2487920	of impurity that has to be taken out, there is nothing wanting which has to be added,
2488040	2495160	keval paripunam, keval parishuddham, the dhamma that is taught by an enlightened person is
2495160	2498640	so complete and so pure.
2498640	2507360	But as time passes, as time passes, this complete pure dhamma becomes incomplete, incomplete.
2507360	2515880	Certain important portions get disappearing, they disappear, they disappear.
2516840	2524560	The most difficult ones, they start disappearing earlier, the panya starts disappearing, vipashana
2524560	2527320	starts disappearing.
2527320	2533880	The panya which remains is panya, only intellectual panya, people keep on talking about panya,
2533880	2539920	keep on talking about wisdom, but the practice, the bhavana maya panya gets lost.
2539960	2550240	The samadhi, the purer part of samadhi goes away, the concentration, concentration with
2550240	2555480	some verbalisation or visualisation or imagination, that will remain.
2555480	2564040	But the samadhi which develops with the awareness of the reality, that passes away.
2564160	2567160	And what remains is sila.
2567160	2573840	And now that sila becomes so important to people, yes, it is important, but the other
2573840	2582040	factors, the other steps of dhamma are lost, then more importance is given to sila.
2582040	2589360	People start going to extreme, they start stretching the sila, one sila or the other
2589880	2593520	to such an extent that the mind becomes unbalanced.
2593520	2598440	They can't practice proper samadhi, they can't practice proper panya.
2598440	2603880	We find same thing happening in today's India also, there are sections of the society where
2603880	2611760	they stretch one sila or the other to such an extent, to such an extent that they lose
2611760	2613160	the balance of their mind.
2613160	2618040	They can't practice proper samadhi, they can't practice proper panya.
2618040	2622880	This is what Buddha kept on condemning.
2622880	2633120	He said, sila vata paramasya, paramasya is attachment, attachment to such a great extent
2633120	2639880	that by observing this particular sila, I am going to get liberation, I will be liberated
2639880	2643880	just by observing this one particular sila.
2643880	2648000	And that makes the people so unbalanced, they don't practice samadhi, they don't practice
2648000	2653080	vipashna, they don't practice panya, and they get stuck only with sila because they have
2653080	2654560	stretched it so much.
2654560	2661800	Vata, you take a vow, and you become so attached to this vow, and again you stretch it, stretch
2661800	2667480	it, stretch it to such an extreme, nothing wrong in sila, it's so important.
2667480	2673240	Nothing wrong in vata, taking vow, it is so important, like you take a vow, after midday
2673400	2678560	you won't take any meals, it's a good vow, it helps you in your meditation, or at times
2678560	2684960	you take a vow, you will fast for the whole day, nothing wrong, it keeps you healthy.
2684960	2692000	But then people start stretching it to such an extent, you fasted for one day, I will
2692000	2697840	fast for two days, I am a bigger dhamma person than you are, two days I will fast for five
2697840	2703680	days, five days, I will fast for ten days, twenty days, one month, stretching, stretching,
2703680	2710160	the essence gets lost, the purpose gets lost, one gets so much attached to this sila and
2710160	2716880	to this vata that the other important parts of dhamma like samadhi, like panya is lost
2716880	2718080	to the country.
2718080	2725960	And this was the situation of kuru at that time, people are good in sila, well it is
2725960	2732020	wrong to stretch it to that extent, but still those people who observe sila are definitely
2732020	2737720	much much better than those who know sila, their life is without sila, so these people
2737720	2739080	are much better.
2739080	2745680	Now these people will understand dhamma better because their base is good, although something
2745680	2752580	is wanting and that wanting can be fulfilled by this technique which is being taught now.
2752580	2758780	So this is the place kuru, where the base of morality is there and this is the place
2758780	2763860	where people will understand the details of this technique much better and he gives his
2763860	2766300	technique there.
2766300	2775140	And then when he says, oh bhikkhus come, bhikkhu, what bhikkhu?
2775140	2781100	In the ordinary language of India bhikkhu means a monk, a recluse, but here it doesn't
2781100	2783140	mean that.
2783140	2791060	Not only here in all his teachings when he says bhikkhu, one who is practicing the teaching
2791060	2799460	of dhamma, he may be a layman, he may be a householder, anyone makes no difference,
2799460	2807260	a man, a woman, a monk, a nun, a householder, man, woman, anyone from all these four groups
2807260	2808800	can be a bhikkhu.
2808800	2816680	So he talks, when he calls bhikkhu, he calls bhikkhu to a meditator, oh meditators.
2816680	2821000	And then he says, now here it starts, his discourse.
2821000	2838500	Ekayanu ayam bhikkave maggu, ekayanu, one and only path, ekayanu maggu ayam bhikkave,
2838500	2848880	path maggu, sattanam visuddhiya, to purify the individuals.
2848880	2856080	That means to purify the mind of the individual, mental purification is the real purification,
2856080	2860760	one may keep on washing one's body at the external level, this is not the purification
2860760	2867280	of the individual, the mind should get purified, sattanam visuddhiya.
2867280	2879980	Then what this purification does, soka paridevanam samatikamaya, soka.
2879980	2891300	Great grief, mental grief, very deep grief is soka.
2891300	2899660	Soka paridevanam, and with this mental grief inside, it manifests itself at the physical
2899660	2912460	level, one starts crying, weeping, lamenting, samatikamaya, this path will help the meditator
2912460	2917960	to transcend this, to cross this over.
2917960	2925600	As you practice this technique, no more crying, no more weeping, no more lamentation, and
2925600	2934220	such deep griefs, they come on the surface and pass away, you pass over them.
2934220	2947960	And then, dukkha domanasanam atthangamaya, dukkha domanas, again domanas is the unpleasant
2947960	2955580	feeling of the mind, mind feels unhappy, is domanas.
2955580	2963480	And dukkha, the sensations on the body, unpleasant sensations on the body is dukkha, unpleasant
2963500	2972500	feeling of the mind is domanas atthangamaya, to eradicate that, to finish that, this technique
2972500	2974260	will help.
2974260	2982340	You start from the very gross reality, very gross miseries, and you come to the subtler
2982340	2988300	miseries, subtler miseries, subtler miseries, till you eradicate total miseries, no more
2988300	2990540	misery.
2990560	2996880	When you are too much in mental grief, then you cry and weep, this is so gross, both of
2996880	2999000	them are so gross.
2999000	3004760	Then the misery of mind is still there, some unpleasantness is there in the mind, domanasanam,
3004760	3013560	and there is sensation on the body which is unpleasant, that also goes away by this technique.
3013560	3029060	Nyayas adhigamaya, to help one to walk on the path of truth, nyayas.
3029060	3036780	If you don't walk on the path of truth, if you work with imagination, then the previous
3036780	3041060	thing, whatever I said, cannot be attained.
3041060	3047020	Your misery from the deepest level cannot be taken out, if you just work with some kind
3047020	3055860	of contemplation, some kind of imagination, then your surface of the mind is working to
3055860	3061820	purify itself, surface of the mind gets purified, no doubt by that, but the deepest level of
3061820	3067260	the mind, where you have these deep rooted complexes, they can't come out.
3067260	3072380	They will come out only when you start observing the reality as it is pertaining to mind and
3072380	3077260	matter and the interconnection between the two, and you keep on observing, observing,
3077260	3083380	observing, observing, from the gross apparent truth to deeper, deeper, deeper, till you
3083380	3090860	reach the ultimate truth, the subtlest ultimate truth pertaining to the matter, subtlest ultimate
3090860	3096860	truth pertaining to the mind, pertaining to the mental contents, and thus you are working
3096860	3103100	with the truth, truth that you experience, not the truth experienced by a Buddha.
3103100	3107900	The truth experienced by Buddha can liberate only one person and that person was Buddha
3107900	3109780	only who was liberated.
3109780	3115580	He can only show the path, every, each individual has to walk over the path step by step and
3115580	3123100	must experience the truth oneself directly, directly from the grossest reality to the
3123100	3126540	subtlest, subtlest, subtlest reality.
3126540	3134620	So that is called nyayas adhigamaya, gamaya, you walk on it, adhigamaya, high road, you
3134620	3144980	are walking on the high road of liberation, nibbanas sacchikiriaya, and where it takes
3144980	3152380	your observation of the truth from the grossest apparent reality moving towards subtlest,
3152380	3159180	subtlest, but truth, no imagination, subtlest, subtlest, subtlest, subtlest reality pertaining
3159180	3167660	to the entire mind matter field and then you transcend and witness something which is beyond
3167660	3171740	mind and matter and which is called nibbana.
3171740	3177580	The entire field of mind and matter is the field where things keep on arising, passing,
3178300	3184780	arising, passing, arising, passing, sometimes arising at a very gross level, it arises seem
3184780	3190220	to stay for some time and then passes away, it arises seem to stay for some time and passes
3190220	3196180	away, as you go deeper, deeper, deeper, you notice that it arises, passes, arises, passes
