start	end	text
572200	579200	Buddha himself is directing me, is telling me how to practice.
579200	588480	Every word will be so inspiring for you but this is a beginning stage.
588480	592620	Understand few words which will be helpful.
592620	604020	The three steps, first Pariyatti.
604020	624120	This is adequate knowledge, sufficient knowledge of the teaching at the intellectual level.
624120	642460	One has heard something, one has read something, the words of the enlightened person, Pariyatti.
642460	658820	One who has heard the words of the enlightened person is called a Sutva, Sutva, in Pali Sutva.
658820	670880	One was heard, one was not heard at all.
670900	676660	So difficult for this person to understand what Dhamma is.
676660	682940	For this person Dhamma will be just a sectarian belief, a sectarian philosophical belief.
682940	689140	Maybe a rite, maybe a ritual, maybe a ceremony, a religious ceremony and the whole life this
689140	698640	person will remain involved in these things without understanding what Dhamma is.
698640	705840	Because he never had an opportunity to hear the words of the enlightened person, read
705840	709800	the words of the enlightened person.
709800	714420	He can never understand.
714420	720440	Because he has never heard even, he won't understand that Dhamma is universal.
720440	723100	For him Dhamma will be just a religion.
723560	730240	Oh this is Buddhist religion or this is Hindu religion or this is a Christian religion or
730240	736120	a Muslim religion or a Jewish religion.
736120	741840	Dhamma will be understood by this person only in this way.
741840	753000	But if he has heard what Dhamma is, then he will understand Dhamma is law, Dhamma is truth.
753900	765220	Dhamma is nature, the natural law which is universal.
765220	775140	It cannot remain limited to a particular sect, a particular community.
775280	784680	It is applicable on one and all, the law of nature, universal.
784680	793640	Therefore Sutva is a very fortunate person who has at least heard what Dhamma is, who
793640	804240	has at least heard how to practice Dhamma, who has at least heard how to apply Dhamma
804340	806380	in life.
806380	817460	A fortunate person compared to one who is a Sutva who has never heard, never heard anything
817460	827740	about the truth, the universal truth, the natural truth.
827740	835460	This person remains confused because he has never heard even.
835460	844700	One who has heard is certainly a fortunate person compared to one who has never heard.
845660	864980	But merely hearing or merely reading the words of an enlightened person is not enough.
864980	869820	It is very good to give inspiration.
869940	882620	It is very good to give you guidance so that you start practicing, but you don't practice.
882620	894380	You feel quite satisfied having heard, you feel quite satisfied having read it, then
894940	908740	it just becomes a devotional game for you, a devotional satisfaction which may even become
908740	915680	a hindrance for your liberation.
915680	923620	You feel so satisfied having heard the words of pure Dhamma, having read the words of pure
923860	933540	Dhamma, you feel so satisfied, now I know everything.
933540	950180	But actually you don't know, you just accepted the truth because you never practiced it.
950740	967780	For every Sutva, everyone who has heard the words of pure Dhamma must start practicing.
967780	975020	And for this the word is Patipatti.
975020	986660	First was Pariyatti, a sufficient intellectual knowledge of Dhamma is Pariyatti.
986660	997740	Then Patipatti, you start practicing it, the practice of Dhamma.
997740	1001180	As you might have heard in daily chantings,
1001180	1025820	The Sangha which is Savaka, Savaka is a Sutva, the Sangha who has heard the teaching of Buddha
1025820	1036500	and now they start walking on the path, Su Patipanno, they walk on the path properly.
1036500	1042400	It is the walking on the path which will take you to the final goal, to your destination
1042400	1048220	of full liberation, full enlightenment.
1048220	1061260	Patipatti, Pariyatti alone cannot take you to the final goal.
1061260	1073220	By Pariyatti, by listening Dhamma, one starts understanding, yes I must live the life of
1073220	1084460	Dhamma, I must live the life of morality, I am a human being and a human being is a
1084460	1095100	social being, one has to live in the society, one has to live with the members of the family.
1095100	1098860	How to live?
1098860	1108580	One should not disturb the peace and harmony of the people around.
1108580	1114300	How can I experience peace and harmony if I keep on disturbing the peace and harmony
1114300	1116780	of others?
1116780	1131380	Therefore I should not perform any action, physical or vocal, which hurts and harms
1131380	1132580	other beings.
1132580	1138360	I should not perform such action.
1138360	1142400	I should abstain from killing.
1142400	1146100	I should abstain from stealing.
1146100	1151260	I should abstain from sexual misconduct.
1151260	1166180	I should abstain from speaking lies, speaking harsh words, speaking words of backbiting,
1166180	1171460	speaking useless words, meaningless words, wasting my time, wasting time of others.
1171540	1175500	I must abstain from that.
1175500	1182140	I must abstain from taking any kind of intoxicants.
1182140	1186660	One understands that.
1186660	1193860	And one also understands, if one tries to understand the words of an enlightened person,
1193860	1208580	one also understands that by abstaining such unwholesome actions, I am not obliging others.
1208580	1212820	I am actually obliging myself.
1212820	1219140	Because every time I perform any unwholesome action, physical or vocal, which goes against
1219140	1228580	the interest of others, I cannot perform such actions unless I generate tremendous
1228580	1241500	amount of impurity in my mind, craving, greed, hatred, aversion, ego, fear, some impurity
1241500	1243700	or the other.
1243740	1251900	And then only I perform vocal actions or physical actions which are unwholesome.
1251900	1256860	And when I generate impurity in my mind, I have started harming myself.
1256860	1265100	Oh, for this reason, I must live a life of morality.
1265100	1268820	Sheila is very important for me.
1268820	1273020	One understands that.
1273020	1283020	But then, for patti-patti, for the actual practice, it becomes difficult.
1283020	1292620	Because unless one has control over one's own mind, one cannot abstain from such unwholesome
1292620	1299820	actions in spite of the fact that one understands at the intellectual level that such actions
1299820	1303380	are no good for me, no good for others.
1303380	1309660	And yet, because one has no mastery over the mind, one keeps on performing such unwholesome
1309660	1324140	actions, therefore one learns how to control the mind.
1324140	1332220	For Sheila, one practices samadhi.
1332220	1339280	For some time under certain circumstances, in certain environments, like you come to
1339280	1347900	a course because of the environment around you and because of the program from morning
1347900	1352940	till night 9, 9.30, you are kept busy.
1352940	1354860	You are not breaking any of the Sheila.
1354860	1362220	But then, you have to develop the mastery over the mind.
1362220	1374020	And you start practicing samadhi, patti-patti, su patti-panno.
1374020	1380700	You started walking on the path.
1380700	1384580	The second important section of dhamma.
1384580	1390220	First is pariyatti, the theoretical knowledge of dhamma.
1390220	1395180	The second is patti-patti.
1395180	1408080	But as one proceeds on the path, properly, as an enlightened person wants you to proceed,
1408080	1412520	you can control your mind in different ways.
1412520	1418680	But if you have not controlled the mind in a proper way, then this controlling of the
1418680	1422700	mind will not take you to the third step.
1422700	1430800	And that is patti-vedan, another word for you, patti-vedan.
1430800	1439680	The literal meaning is piercing, penetrating.
1439680	1448600	You develop your samadhi in such a way that the mind gets concentrated by observing the
1448600	1456280	reality that you are experiencing.
1456280	1466360	The reality pertaining to yourself, pertaining to the mind-matter phenomena.
1466360	1474880	You start working with respiration, which is related to both the mind and the matter.
1474880	1484960	And as you proceed further, you notice that you have got a very large stock, a very big
1484960	1494480	accumulation of complexes, of impurities deep inside.
1494480	1503280	And although you are learning to control your mind, although you try to abstain from unwholesome
1503320	1511560	physical and vocal actions, yet from time to time, these accumulated impurities come
1511560	1519980	up on the surface and you get overwhelmed again, you are overpowered.
1519980	1525920	So you have to reach that depth to take those impurities out.
1525920	1531840	And that is patti-vedan.
1531840	1540160	You have to witness the truth at the deeper level.
1540160	1549280	There is a truth, which we call panyatthi, the apparent truth.
1549280	1553440	It appears to be so, this is the truth.
1553440	1558160	It seems to be so, it appears to be so.
1558160	1571920	This apparent truth has to be removed so that you are able to witness the ultimate truth.
1571920	1580440	And this is possible if you remove the curtain, which does not allow you to witness the truth
1580440	1582720	behind this curtain.
1582720	1590920	The curtain of the apparent truth is a barrier.
1590920	1600680	You have to cut asunder this curtain, pierce, penetrate, remove it.
1600680	1605240	And this is what is vipashyana.
1605240	1610600	We keep on giving explanation of vipashyana in these words.
1622600	1631440	Removing the apparent truth, removing the curtain of the apparent truth, you start moving
1631440	1634880	towards the ultimate truth.
1634880	1641960	The ultimate truth pertaining to this material structure, which you keep on saying I, I,
1641960	1647520	mine, mine, myself.
1647520	1652500	The ultimate truth pertaining to the mental structure, the mind.
1652500	1660600	The ultimate truth pertaining to the mental contents, which you keep on saying I, I, mine,
1660760	1665320	mine, myself, myself.
1665320	1680480	And beyond this mind and matter, the ultimate truth of nibbana, the eternal truth, beyond
1680480	1685360	the entire field of mind and matter.
1686120	1691240	And this is possible only by this pativetan.
1691240	1698620	Moving piercingly, penetratingly, piercingly, penetratingly, the apparent truth, which has
1698620	1711960	manifested itself in a very solidified way, intensified way, dividing it, dissecting it,
1712560	1716800	disintegrating it, dissolving, dissolving, dissolving.
1716800	1724040	You move towards the ultimate truth, ultimate truth pertaining to the matter, ultimate truth
1724040	1728680	pertaining to the mind, ultimate truth pertaining to the mental contents.
1728680	1736640	And then piercingly, penetratingly, piercingly, penetratingly, you pierce the entire field
1737320	1744320	of mind and matter, and then you can witness something which is beyond mind and matter.
1744320	1748160	Pativetan.
1748160	1759960	This practice of pativetan, the piercing panya, the piercing wisdom, which is vipassana, this
1760280	1768400	takes one to the final goal of full liberation.
1768400	1775480	Therefore these eight days when you will be listening to this satipatthana sutra, understand
1775480	1787800	the purpose of hearing this sutra is to hear this pariyatthi is to get inspiration, to
1787800	1793480	get guidance for the next step, patipatthi.
1793480	1804480	And again to get inspiration, to get guidance, to take the next step, pativetan, pariyatthi
1804480	1809840	is merely theoretical knowledge, which is very helpful no doubt, but that is not the
1809840	1811960	end of it.
1812120	1823480	Pariyatthi, patipatthi, pativetan, these three steps will cover the entire universe
1823480	1826640	of wisdom.
1826640	1835840	One who takes these three steps covers the entire universe of wisdom.
1835840	1840880	These three steps have to be taken.
1840880	1853520	This is what you keep on hearing in your discourses of ten days, sutamaya panya, chantamaya panya,
1853520	1862480	and bhavanamaya panya, sutamaya panya.
1862480	1870720	You heard, you heard something about wisdom, it is not your wisdom, somebody else's wisdom,
1870720	1882280	you heard it, chantamaya panya, you used your intellect to understand it, you intellectualised
1882280	1890960	whatever you heard, both of these are not your panya, not your wisdom, somebody else's
1890960	1900120	wisdom you heard, you rationalised, both are very good.
1900120	1906080	But they are very good only if you take the third step, bhavanamaya panya.
1906080	1913040	Then you are witnessing the truth yourself, something is happening, and you are witnessing
1913040	1915080	it.
1915080	1920360	And you repeatedly keep on witnessing, keep on witnessing, this is how it develops, your
1920360	1926280	own wisdom starts developing, developing, developing, and it is the bhavanamaya panya
1926360	1933640	which takes you to the final goal.
1933640	1947720	In another tradition, we have the same three steps using three different words for them.
1947720	1965240	The first is sadh, sach, the truth of the word, the word is a truth, people who become
1965240	1978840	very fanatical, who develop a lot of attachment to their scriptures without even understanding
1978840	1985920	what it is, for them the word of the scripture is the truth.
1985920	1991640	One must accept what the scripture says, whether you understand or not, whether you experience
1991640	1996360	or not, whether you witness or not, this is the truth.
1996360	2000800	The word said by an enlightened person is the truth.
2000800	2005000	The word in a particular scripture is a truth.
2005000	2011840	Yes, even if it is a truth, it is not for you.
2011840	2018600	It is a truth for somebody who witnessed it, you only heard.
2018600	2022560	And you developed attachment to it.
2022560	2038280	This is first sadh, sach, and the next anumana sach, now you start understanding it at the
2038920	2051880	level by inference, oh it is so, oh that means it must be like this, anumana, you see some
2051880	2059560	smoke somewhere, oh there is smoke, so certainly there must be fire, you have not seen fire,
2059560	2073320	you have seen smoke, and then you intellectualise it, inference, there must be fire.
2073320	2081920	Both of these can be illusionary, can be delusionary.
2081920	2092040	The third, pachakha sach, pachakha, you witness now, you directly witness the truth yourself
2092040	2101960	and that truth is the real truth for you, that is going to help you.
2101960	2112880	The entire teaching of an enlightened person is to inspire you so that you witness the
2112880	2123120	truth yourself directly, merely believing in what a Buddha said will not lead you to
2123120	2129760	the final goal, it is essential, it is helpful, no doubt, but unless you witness yourself
2129760	2136240	to the ultimate truth, you can never be liberated.
2136240	2142780	One who witnessed it became an enlightened person, became a Buddha, everyone has to witness
2142780	2150880	the truth oneself to become an enlightened person, to become a liberated person.
2151800	2162680	With this understanding, you will be going through this satipatthana sutra.
2162680	2172200	Every word of this sutra should generate inspiration in you, should give you proper guidance, you
2172200	2181000	listen to the sutra, you understand it at the intellectual level, but at the same time
2181000	2188600	you have to witness, every teaching of an enlightened person has to be witnessed by
2188600	2193600	one who aspires to get liberated.
2194600	2204600	Unless you witness yourself, you will not get liberated.
2204600	2209600	This is what is taught in satipatthana sutra.
2209600	2223400	Sati, the word sati means aware, you are aware, because you are witnessing it.
2224400	2237400	You are aware, every reality within the framework of the body, every reality pertaining to the
2237400	2247400	matter, every reality pertaining to the mind, you are aware, you are aware.
2247400	2258400	But you are aware with proper understanding also, with proper wisdom also.
2258400	2265400	Then only satipatthana is satipatthana.
2266400	2281400	Thana is getting established, your awareness gets established, patthana, in a proper way.
2281400	2294400	In different ways, pakarena is patthana, and when you practice vipashana, when you practice
2294400	2301400	panya, we say pakarena, yaaneti, tipanya.
2301400	2310400	From different angles, you understand the reality, and then it is panya for you.
2310400	2317400	If you witness the reality only from one angle, then what you are witnessing is only a partial
2317400	2325400	truth, and partial truth is distorted truth.
2325400	2330400	It can create difficulty for you.
2330400	2337400	You have to try and observe, witness the totality of the truth, and that will be possible from
2337400	2344400	different angles, pakarena, and then it becomes panya, it becomes wisdom.
2344400	2355400	So this sati, when it is joined with panya, then it becomes patthana.
2355400	2364400	Therefore, with every time Buddha says sati, sato, he uses the word sampajano.
2364400	2367400	When we go through the text, we will come to it.
2367400	2372400	Sampajano, atapi, sampajano, satima.
2372400	2380400	The sati, the awareness, the witnessing is perfect only when panya is there, when wisdom
2380400	2388400	is there, when you can understand at the experiential level the nature of the reality which is manifesting
2388400	2390400	itself.
2390400	2398400	Its basic characteristic, the characteristic of anicca, look, arising, passing, arising,
2398400	2409400	passing, the characteristic of dukkha, look, how very misery, misery is there.
2409400	2414400	Even you experience something very pleasant, by the practice of panya, by the practice
2414400	2421400	of vipashyana, it becomes so clear that look, this also is misery, there is inherent misery
2421400	2426400	in it because it is not permanent.
2426400	2430400	Every pleasant experience changes into an unpleasant situation.
2430400	2433400	The law of nature is such.
2433400	2436400	So miseries are not there.
2436400	2442400	And with every pleasant experience that you have, the tendency is to develop attachment
2442400	2443400	towards it.
2443400	2446400	You start clinging to it.
2446400	2449400	And when it is gone, because it is anicca, it is bound to go away.
2449400	2452400	And when it goes away, you feel so miserable.
2452400	2455400	That you will understand by your own experience.
2455400	2460400	So it is dukkha, dukkha, dukkha.
2460400	2466400	Whatever you experience within the framework of the body is nothing but dukkha, dukkha,
2466400	2468400	dukkha.
2468400	2472400	This is not a philosophy.
2472400	2481400	This is the truth which one has to experience by pativedhan, pativedhan, dukkha, dukkha.
2481400	2488400	And then by this pativedhan, dividing, dissecting, disintegrating, dividing, dissecting, disintegrating,
2488400	2500400	dissolving, dissolving, one comes to the stage where one witnesses that this solidified
2500400	2509400	material structure, this body is actually nothing but subatomic particles, kalapa, kalapa.
2509400	2513400	There is no solidity in it.
2513400	2518400	One reaches the stage of bhanga, total dissolution.
2518400	2524400	Every kalapa, every subatomic particle is arising, passing, arising, passing, arising,
2524400	2525400	passing.
2525400	2531400	And so also the mind manifests itself many a times in a very solidified way.
2531400	2536400	The contents of the mind manifest themselves in a very solidified way.
2536400	2543400	Very solidified emotion as a reason, anger as a reason, fear as a reason, passion as
2543400	2545400	a reason.
2545400	2552400	So intensified, so solidified, you get overwhelmed, you get overpowered.
2552400	2554400	Vipashyana helps you.
2554400	2557400	Pativedhan helps you.
2557400	2561400	The penetrating, the piercing panya starts helping you.
2561400	2566400	You divide, you dissect, you disintegrate, you divide, you dissect, you disintegrate.
2566400	2572400	And this is the stage where you find that however intense this emotion might have been,
2572400	2577400	it is nothing but wavelets, wavelets, wavelets.
2577400	2580400	Material structure is wavelet, wavelet, wavelet.
2580400	2583400	The mental structure is wavelet, wavelet, wavelet.
2583400	2588400	The mental contents are wavelets, wavelets, wavelets.
2588400	2592400	All anicca, anicca, anicca.
2592400	2595400	Then it becomes clear.
2595400	2597400	What is I?
2597400	2600400	Is this material structure I?
2600400	2603400	Is this mental structure I?
2603400	2606400	Are these mental contents I?
2606400	2608400	Are they mine?
2608400	2611400	Do I really possess them?
2611400	2614400	And the whole mind, matter, structure, it is myself?
2614400	2617400	Is it myself?
2617400	2619400	And it becomes so clear.
2619400	2623400	For conventional purpose, we have to use these words.
2623400	2628400	Actually there is no I, no mind, no myself.
2628400	2633400	Just this mind-matter phenomena, interaction of mind and matter,
2633400	2638400	a constant interaction of mind and matter,
2638400	2641400	the mind influencing the matter,
2641400	2646400	the matter influencing the mind,
2646400	2653400	the mind becomes a cause for the arising of matter,
2653400	2657400	the matter becomes a cause for the arising of mind.
2657400	2660400	How these currents are going on within me,
2660400	2663400	these cross currents, these undercurrents,
2663400	2666400	and this is what I am saying I,
2666400	2668400	this is what I say mind,
2668400	2671400	this is what I say myself.
2671400	2673400	It becomes clear.
2673400	2676400	It becomes clear at the experiential level,
2676400	2679400	then it is anatta,
2679400	2682400	this anicca, impermanence,
2682400	2685400	dukkha, misery, anatta,
2685400	2688400	selflessness,
2688400	2691400	egolessness,
2691400	2693400	is not a philosophy,
2693400	2698400	is not to be taken as a philosophy, sectarian philosophy.
2698400	2703400	This is not applicable only to those who call themselves Buddhist,
2703400	2705400	nothing doing.
2705400	2707400	This is applicable to everyone.
2707400	2710400	One may call oneself a Hindu or a Muslim or a Christian or a Jewish,
2710400	2712400	it makes no difference.
2712400	2716400	One may be black or white or brown or yellow, it makes no difference.
2716400	2719400	One may be a man or a woman, it makes no difference.
2719400	2723400	Everybody is just a bundle of mind and matter
2723400	2726400	and constant interaction going on
2726400	2729400	and without knowing what is happening inside,
2729400	2731400	one develops this I,
2731400	2733400	I,
2733400	2735400	this ego, this false ego,
2735400	2738400	then tremendous amount of attachment to this false ego,
2738400	2741400	which brings nothing but misery.
2741400	2743400	All this is law of nature,
2743400	2745400	which will become so clear,
2745400	2750400	and it will become clear only by pati ve dhan.
2750400	2753400	The third step, piercing,
2753400	2756400	penetrating, piercing, penetrating,
2756400	2760400	the panya piercing, penetrating, piercing, penetrating.
2760400	2767400	So sati, if the awareness is not with this piercing, penetrating panya,
2767400	2771400	then mere awareness will not help you.
2771400	2775400	Then you will always remain aware of the apparent truth
2775400	2778400	and you can't understand what the ultimate truth is,
2778400	2781400	what the real truth is.
2782400	2785400	The awareness is there,
2785400	2788400	very good awareness is there.
2791400	2794400	With a circus girl,
2794400	2800400	who is walking on a tightrope,
2800400	2805400	she is so much aware of every step she takes,
2805400	2810400	little awareness and she may fall down.
2810400	2813400	Her life is in danger.
2813400	2816400	Parts of her body are in danger.
2816400	2819400	So she has to be very aware.
2819400	2823400	But this awareness does not make her an arhant, far away,
2823400	2826400	not even a sotapanna, far away,
2826400	2830400	because she can't understand what is going on inside.
2830400	2833400	She is only with the apparent truth.
2833400	2837400	Similarly, a dancer,
2837400	2839400	dancing on the platform,
2839400	2841400	she is so aware of every step,
2841400	2845400	every movement of every limb of her body.
2845400	2849400	Just aware, aware of the apparent truth.
2849400	2851400	Panya is missing.
2851400	2855400	Sati is not perfect without panya.
2855400	2859400	Satipatthana is sati with panya.
2859400	2864400	You won't get established in the awareness with wisdom.
2864400	2869400	Wisdom of anicca, arising, passing, arising, passing,
2869400	2872400	or dukkha, misery, or anatta,
2872400	2875400	no I, no mine, no myself,
2875400	2881400	and all that at the experiential level.
2884400	2890400	The discourse of satipatthana is for that purpose.
2890400	2895400	Sati plays a very important part
2895400	2899400	in the practice of dhamma,
2901400	2905400	in witnessing the truth.
2907400	2911400	We have been talking about five friends
2911400	2917400	in our usual discourses of ordinary ten-day courses.
2918400	2924400	Saddha, Veerya, Sati, Samadhi, Panya.
2924400	2928400	The five friends,
2928400	2934400	your faith, devotion,
2934400	2938400	and your effort, and your awareness,
2938400	2941400	and your concentration,
2941400	2943400	and your wisdom, your panya.
2943400	2946400	These are your five friends.
2947400	2953400	In the words of Buddha, they are called five indriyas.
2956400	2962400	The word indra means the ruler, the king.
2962400	2967400	The king of the celestial world is called indra,
2967400	2971400	the ruler, the master.
2971400	2976400	So indriya, there are two types of indriyas.
2976400	2984400	One indriya is the sensitors, eyes, ears, nose, tongue, and the body.
2984400	2988400	They are indriyas. They are also called indriya. Why?
2988400	2992400	Because they keep on mastering us, they keep on overpowering us.
2992400	2995400	Every now and then we find that we have become slaves
2995400	2999400	of one or the other of these five sensitors.
2999400	3001400	So they are called indriya.
3001400	3005400	So also these five faculties, they are called indriya
3005400	3010400	because we become masters of those five faculties.
3010400	3016400	And sati is one of those faculties, awareness, awareness.
3016400	3020400	These five indriyas, in the language of those days,
3020400	3025400	in the words of Buddha, were also called five bala.
3025400	3028400	Bala means force, strength.
3028400	3032400	These five are our strength.
3032400	3037400	For every meditator, for everyone who walks on the path of liberation,
3037400	3042400	these five are very important strengths.
3042400	3047400	And sati is one amongst them.
3047400	3051400	Sati is so important.
3051400	3058400	And then you might have heard the seven bojhangas,
3058400	3062400	the seven factors of enlightenment.
3062400	3068400	Amongst those seven factors of enlightenment, sati is one.
3068400	3071400	And a very important one.
3071400	3075400	You are aware. With every factor of enlightenment,
3075400	3078400	you start with awareness, and you are aware, you are aware,
3078400	3081400	you are aware of every factor of enlightenment
3081400	3085400	till you reach the final goal of enlightenment.
3085400	3088400	Sati is so important.
3088400	3096400	But sati is important and fruitful if we make use of it properly.
3096400	3108400	And that is what you will be understanding from the words of Buddha.
3109400	3117400	The sutra, that means the teaching of Satipatthana.
3117400	3123400	Tomorrow we will start reading this sutra.
3123400	3132400	Today this background for you to understand
3132400	3138400	that the most important thing is taking steps on the path,
3138400	3143400	piercingly, penetratingly, moving towards the ultimate truth.
3143400	3148400	Tearing away the apparent truth and moving towards the ultimate truth.
3148400	3152400	And this is what you do by practicing vipashyana.
3152400	3157400	Little by little, step by step, you keep on dividing, dissecting,
3157400	3161400	disintegrating, dissolving, and moving from the apparent truth
3161400	3164400	towards the ultimate truth.
3164400	3176400	Therefore, just reading these sutras or hearing these sutras,
3176400	3182400	the discourses should not become the aim of the life.
3182400	3187400	There is a big danger there.
3187400	3190400	We have to be very careful.
3190400	3195400	All those who are running such vipashyana centers now,
3195400	3199400	and all those who will be running such vipashyana centers in future,
3199400	3204400	for centuries, they have to be very careful.
3204400	3209400	That a vipashyana center is a vipashyana center.
3209400	3216400	The purpose of vipashyana center is patipatti and pativedan.
3216400	3223400	The actual practice to develop bhavanamaya panya,
3223400	3228400	your own wisdom which you witness yourself,
3228400	3234400	from the grossest to the subtlest, your own wisdom,
3234400	3241400	the wisdom that you develop, that you multiply by your own experience.
3241400	3248400	This is the purpose of such vipashyana centers.
3248400	3253400	How vipashyana got lost?
3253400	3258400	One reason out of so many others was
3258400	3264400	that people started giving importance only
3264400	3267400	to the theoretical part of it.
3267400	3272400	Just the sutras, the discourses of Buddha.
3272400	3278400	One feels so satisfied having recited the discourse of Buddha,
3278400	3282400	having recited the entire tepidika,
3282400	3286400	memorizing the entire tepidika.
3286400	3290400	One feels so satisfied.
3290400	3294400	Oh, the purpose of my life is fulfilled.
3294400	3298400	Then, having discussions, debates, arguments,
3298400	3301400	the meaning of this word is this, not that.
3301400	3304400	No, no, it is that, not this.
3304400	3307400	Centuries after centuries, this is what remained.
3307400	3310400	The practice was lost.
3310400	3312400	Confusion prevailed.
3312400	3317400	Without practice you can't understand the words of an enlightened person.
3317400	3321400	His words are words of his own experience.
3321400	3325400	He is not writing scripture for the sake of writing scripture.
3325400	3329400	He is not giving discourse for the sake of giving discourse.
3329400	3331400	He is guiding people.
3331400	3334400	This is how I have witnessed the truth,
3334400	3337400	and this is how you have to witness the truth.
3337400	3340400	And if you stop witnessing the truth,
3340400	3343400	and if you start playing games with these words,
3343400	3346400	the discourse is of Buddha,
3346400	3349400	that will become a very big hindrance.
3349400	3355400	Therefore, a Vipassana center is only for meditation.
3355400	3357400	We make use of these words,
3357400	3361400	like we are going to make use now for this next one week.
3361400	3364400	We read the words of Buddha,
3364400	3368400	understand to get inspiration, to get guidance,
3368400	3370400	what Buddha wanted us to do,
3370400	3373400	how he wanted us to practice.
3373400	3378400	But actual practice always will remain predominant,
3378400	3383400	because without practice we can't reach the final goal.
3383400	3389400	Again, it should be understood that we are not denouncing Paryatthe.
3389400	3392400	We are not against the scriptures.
3392400	3394400	We are not against the words of Buddha.
3394400	3397400	How can one be against the words of Buddha,
3397400	3400400	one who is practicing what Buddha taught,
3400400	3402400	how can he be against the words of Buddha?
3402400	3405400	But the words of Buddha should not become
3405400	3408400	like the final goal of our life.
3408400	3412400	Practice should remain the final goal.
3412400	3417400	We are of course very thankful,
3417400	3422400	we are of course very grateful
3422400	3426400	to the Sangha,
3426400	3433400	who has maintained the purity of the words of Buddha.
3433400	3439400	There were some who maintained the purity of the practice,
3439400	3442400	as taught by Buddha, the Vipassana.
3442400	3444400	We are very grateful to them,
3444400	3448400	because because of them we got this wonderful technique,
3448400	3451400	otherwise it would have been long lost,
3451400	3453400	as it got lost in many places.
3453400	3457400	At least one tradition maintained it in its original purity,
3457400	3459400	that's how we got it.
3459400	3468400	Similarly, we developed great feeling of gratitude towards those,
3468400	3471400	who might have practiced or might not have practiced,
3471400	3474400	but at least they maintained the words of Buddha,
3474400	3478400	from generation to generation, from generation to generation,
3478400	3480400	for the last 25 centuries,
3480400	3483400	from teacher to pupil, from teacher to pupil,
3483400	3486400	they maintained these words.
3486400	3489400	And that is how we can compare now,
3489400	3492400	because questions keep arising,
3492400	3495400	whether what we are practicing,
3495400	3499400	is it really the teaching of Buddha?
3499400	3502400	Did really Buddha wanted us to work like this?
3502400	3505400	Now how to prove that it is so?
3505400	3512400	It is only the words which are maintained in its pristine purity by this school,
3512400	3519400	who felt that they are responsible for keeping the words of Buddha intact,
